,alpha,ucl,diff
0,0.5,4.399294904342047,0.0
1,0.51,4.468108546208885,0.06881364186683836
2,0.52,4.537572112910503,0.13827720856845627
3,0.53,4.6077291515664225,0.20843424722437565
4,0.54,4.678625019181012,0.27933011483896486
5,0.55,4.750307096077545,0.35101219173549847
6,0.56,4.822825017719021,0.423530113376974
7,0.57,4.896230927907855,0.4969360235658078
8,0.58,4.970579756781148,0.571284852439101
9,0.59,5.045929527531436,0.6466346231893896
10,0.6,5.122341696403568,0.7230467920615213
11,0.61,5.199881531267553,0.8005866269255062
12,0.62,5.278618534976868,0.8793236306348211
13,0.63,5.3586269208262145,0.9593320164841677
14,0.64,5.439986148769784,1.0406912444277374
15,0.65,5.522781532712475,1.1234866283704283
16,0.66,5.6071049312161785,1.2078100268741316
17,0.67,5.693055536475883,1.2937606321338357
18,0.68,5.780740779543105,1.3814458752010585
19,0.69,5.870277373682066,1.4709824693400195
20,0.7,5.961792522663087,1.5624976183210402
21,0.71,6.0554253270338485,1.6561304226918017
22,0.72,6.151328429371442,1.752033525029395
23,0.73,6.249669949764416,1.8503750454223695
24,0.74,6.35063577607003,1.9513408717279832
25,0.75,6.45443229089936,2.0551373865573135
26,0.76,6.561289640292985,2.1619947359509384
27,0.77,6.671465679780644,2.272170775438597
28,0.78,6.785250775018129,2.3859558706760824
29,0.79,6.902973690914678,2.503678786572631
30,0.8,7.025008881701687,2.6257139773596405
31,0.81,7.151785604692078,2.752490700350031
32,0.82,7.283799437798167,2.88450453345612
33,0.83,7.421627009097917,3.02233210475587
34,0.84,7.565945084068219,3.1666501797261724
35,0.85,7.717555665130073,3.318260760788026
36,0.86,7.877419544184731,3.478124639842684
37,0.87,8.046701994396923,3.647407090054876
38,0.88,8.226836319745827,3.82754141540378
39,0.89,8.419614408798523,4.020319504456476
40,0.9,8.627319446680783,4.228024542338736
41,0.91,8.852926946566656,4.453632042224609
42,0.92,9.10042151704887,4.701126612706823
43,0.93,9.37532049115404,4.976025586811994
44,0.94,9.685592629346523,5.286297725004476
45,0.95,10.043397712102431,5.644102807760384
46,0.96,10.468732763730323,6.069437859388276
47,0.97,10.998252170281024,6.598957265938977
48,0.98,11.711893105346453,7.312598201004406
